2, 8, 19 ,1.900, 1.300,    0.204, 0.379, 0.264, 0.303,    0.039
2, 8, 19 ,1.900, 1.450,    0.207, 0.386, 0.272, 0.308,    0.036
2, 8, 19 ,1.900, 1.600,    0.189, 0.350, 0.222, 0.285,    0.062
2, 8, 19 ,1.900, 1.750,    0.174, 0.312, 0.189, 0.247,    0.058
2, 8, 19 ,1.900, 1.900,    0.161, 0.288, 0.171, 0.224,    0.052
2, 8, 19 ,1.900, 2.050,    0.145, 0.271, 0.169, 0.221,    0.052
2, 8, 19 ,1.900, 2.200,    0.139, 0.266, 0.170, 0.214,    0.044
2, 8, 19 ,1.900, 2.350,    0.130, 0.262, 0.156, 0.203,    0.047
2, 8, 19 ,2.100, 1.000,    0.231, 0.398, 0.344, 0.275,    -0.069
2, 8, 19 ,2.100, 1.150,    0.218, 0.379, 0.297, 0.276,    -0.021
2, 8, 19 ,2.100, 1.300,    0.221, 0.402, 0.308, 0.314,    0.006
2, 8, 19 ,2.100, 1.450,    0.210, 0.394, 0.276, 0.307,    0.031
2, 8, 19 ,2.100, 1.600,    0.214, 0.409, 0.293, 0.329,    0.036
2, 8, 19 ,2.100, 1.750,    0.211, 0.382, 0.246, 0.308,    0.062
2, 8, 19 ,2.100, 1.900,    0.185, 0.345, 0.210, 0.275,    0.065
2, 8, 19 ,2.100, 2.050,    0.176, 0.325, 0.189, 0.253,    0.064
2, 8, 19 ,2.100, 2.200,    0.162, 0.306, 0.186, 0.247,    0.061
2, 8, 19 ,2.100, 2.350,    0.153, 0.294, 0.182, 0.237,    0.055
2, 8, 19 ,2.300, 1.000,    0.261, 0.412, 0.371, 0.316,    -0.055
2, 8, 19 ,2.300, 1.150,    0.255, 0.428, 0.365, 0.301,    -0.064
2, 8, 19 ,2.300, 1.300,    0.244, 0.410, 0.325, 0.303,    -0.023
2, 8, 19 ,2.300, 1.450,    0.240, 0.424, 0.326, 0.335,    0.009
2, 8, 19 ,2.300, 1.600,    0.238, 0.415, 0.307, 0.323,    0.015
2, 8, 19 ,2.300, 1.750,    0.244, 0.427, 0.323, 0.345,    0.023
2, 8, 19 ,2.300, 1.900,    0.239, 0.413, 0.290, 0.332,    0.043
2, 8, 19 ,2.300, 2.050,    0.218, 0.384, 0.254, 0.303,    0.048
2, 8, 19 ,2.300, 2.200,    0.213, 0.366, 0.239, 0.285,    0.046
2, 8, 19 ,2.300, 2.350,    0.204, 0.353, 0.222, 0.284,    0.061
2, 8, 19 ,2.500, 1.000,    0.276, 0.429, 0.391, 0.346,    -0.045
2, 8, 19 ,2.500, 1.150,    0.275, 0.442, 0.408, 0.343,    -0.065
2, 8, 19 ,2.500, 1.300,    0.268, 0.444, 0.375, 0.335,    -0.040
2, 8, 19 ,2.500, 1.450,    0.264, 0.440, 0.365, 0.341,    -0.025
2, 8, 19 ,2.500, 1.600,    0.255, 0.441, 0.343, 0.353,    0.010
2, 8, 19 ,2.500, 1.750,    0.252, 0.434, 0.326, 0.337,    0.011
2, 8, 19 ,2.500, 1.900,    0.262, 0.443, 0.345, 0.371,    0.026
2, 8, 19 ,2.500, 2.050,    0.253, 0.442, 0.315, 0.362,    0.046
2, 8, 19 ,2.500, 2.200,    0.231, 0.406, 0.288, 0.322,    0.034
2, 8, 19 ,2.500, 2.350,    0.227, 0.397, 0.274, 0.314,    0.039
2, 8, 19 ,2.700, 1.000,    0.292, 0.447, 0.402, 0.330,    -0.072
2, 8, 19 ,2.700, 1.150,    0.299, 0.449, 0.418, 0.356,    -0.062
2, 8, 19 ,2.700, 1.300,    0.286, 0.470, 0.435, 0.348,    -0.086
2, 8, 19 ,2.700, 1.450,    0.279, 0.449, 0.383, 0.337,    -0.046
2, 8, 19 ,2.700, 1.600,    0.278, 0.461, 0.392, 0.381,    -0.011
2, 8, 19 ,2.700, 1.750,    0.271, 0.452, 0.359, 0.374,    0.015
2, 8, 19 ,2.700, 1.900,    0.263, 0.448, 0.341, 0.371,    0.031
2, 8, 19 ,2.700, 2.050,    0.275, 0.456, 0.363, 0.394,    0.032
2, 8, 19 ,2.700, 2.200,    0.271, 0.450, 0.336, 0.388,    0.052
2, 8, 19 ,2.700, 2.350,    0.249, 0.419, 0.307, 0.351,    0.044
2, 8, 19 ,2.900, 1.000,    0.316, 0.469, 0.412, 0.352,    -0.059
2, 8, 19 ,2.900, 1.150,    0.306, 0.463, 0.429, 0.351,    -0.079
2, 8, 19 ,2.900, 1.300,    0.302, 0.453, 0.424, 0.361,    -0.064
2, 8, 19 ,2.900, 1.450,    0.309, 0.474, 0.439, 0.351,    -0.088
2, 8, 19 ,2.900, 1.600,    0.296, 0.454, 0.400, 0.346,    -0.053
2, 8, 19 ,2.900, 1.750,    0.299, 0.463, 0.415, 0.379,    -0.035
2, 8, 19 ,2.900, 1.900,    0.290, 0.450, 0.380, 0.388,    0.008
2, 8, 19 ,2.900, 2.050,    0.281, 0.449, 0.364, 0.386,    0.022
2, 8, 19 ,2.900, 2.200,    0.295, 0.466, 0.383, 0.399,    0.017
2, 8, 19 ,2.900, 2.350,    0.281, 0.455, 0.356, 0.393,    0.037
2, 8, 19 ,3.100, 1.000,    0.338, 0.436, 0.392, 0.354,    -0.038
2, 8, 19 ,3.100, 1.150,    0.313, 0.452, 0.420, 0.339,    -0.081
2, 8, 19 ,3.100, 1.300,    0.330, 0.467, 0.436, 0.364,    -0.071
2, 8, 19 ,3.100, 1.450,    0.306, 0.465, 0.439, 0.366,    -0.072
2, 8, 19 ,3.100, 1.600,    0.303, 0.463, 0.429, 0.346,    -0.082
2, 8, 19 ,3.100, 1.750,    0.302, 0.446, 0.415, 0.353,    -0.062
2, 8, 19 ,3.100, 1.900,    0.299, 0.464, 0.422, 0.383,    -0.039
2, 8, 19 ,3.100, 2.050,    0.295, 0.451, 0.394, 0.385,    -0.009
2, 8, 19 ,3.100, 2.200,    0.295, 0.448, 0.383, 0.393,    0.010
2, 8, 19 ,3.100, 2.350,    0.302, 0.461, 0.400, 0.401,    0.000
2, 8, 19 ,3.300, 1.000,    0.346, 0.449, 0.447, 0.357,    -0.090
2, 8, 19 ,3.300, 1.150,    0.329, 0.447, 0.418, 0.352,    -0.065
2, 8, 19 ,3.300, 1.300,    0.319, 0.452, 0.425, 0.346,    -0.078
2, 8, 19 ,3.300, 1.450,    0.327, 0.455, 0.434, 0.354,    -0.079
2, 8, 19 ,3.300, 1.600,    0.316, 0.464, 0.443, 0.368,    -0.075
2, 8, 19 ,3.300, 1.750,    0.305, 0.448, 0.422, 0.357,    -0.065
2, 8, 19 ,3.300, 1.900,    0.308, 0.455, 0.434, 0.368,    -0.066
2, 8, 19 ,3.300, 2.050,    0.306, 0.456, 0.432, 0.379,    -0.053
2, 8, 19 ,3.300, 2.200,    0.299, 0.446, 0.403, 0.368,    -0.035
2, 8, 19 ,3.300, 2.350,    0.300, 0.447, 0.398, 0.381,    -0.017
